i_adr,i_guide,t_adr_sec,t_guide_sec
0,0,0.000000,0.000000
1,1,0.010000,0.010000
2,2,0.020000,0.020000
3,3,0.030000,0.030000
4,3,0.040000,0.030000
5,3,0.050000,0.030000
6,4,0.060000,0.040000
7,5,0.070000,0.050000
8,6,0.080000,0.060000
9,7,0.090000,0.070000
10,8,0.100000,0.080000
11,8,0.110000,0.080000
12,9,0.120000,0.090000
13,10,0.130000,0.100000
14,11,0.140000,0.110000
15,12,0.150000,0.120000
16,13,0.160000,0.130000
17,14,0.170000,0.140000
18,15,0.180000,0.150000
19,16,0.190000,0.160000
20,17,0.200000,0.170000
21,18,0.210000,0.180000
22,19,0.220000,0.190000
23,19,0.230000,0.190000
24,20,0.240000,0.200000
25,21,0.250000,0.210000
26,22,0.260000,0.220000
27,23,0.270000,0.230000
28,24,0.280000,0.240000
29,24,0.290000,0.240000
30,24,0.300000,0.240000
31,24,0.310000,0.240000
32,24,0.320000,0.240000
33,24,0.330000,0.240000
34,24,0.340000,0.240000
35,24,0.350000,0.240000
36,24,0.360000,0.240000
37,24,0.370000,0.240000
38,24,0.380000,0.240000
39,24,0.390000,0.240000
40,24,0.400000,0.240000
41,24,0.410000,0.240000
42,24,0.420000,0.240000
43,24,0.430000,0.240000
44,24,0.440000,0.240000
45,24,0.450000,0.240000
46,24,0.460000,0.240000
47,24,0.470000,0.240000
48,24,0.480000,0.240000
49,24,0.490000,0.240000
50,24,0.500000,0.240000
51,24,0.510000,0.240000
52,24,0.520000,0.240000
53,24,0.530000,0.240000
54,24,0.540000,0.240000
55,24,0.550000,0.240000
56,24,0.560000,0.240000
57,24,0.570000,0.240000
58,24,0.580000,0.240000
59,24,0.590000,0.240000
60,24,0.600000,0.240000
61,24,0.610000,0.240000
62,24,0.620000,0.240000
63,24,0.630000,0.240000
64,24,0.640000,0.240000
65,24,0.650000,0.240000
66,24,0.660000,0.240000
67,24,0.670000,0.240000
68,24,0.680000,0.240000
69,24,0.690000,0.240000
70,24,0.700000,0.240000
71,24,0.710000,0.240000
72,24,0.720000,0.240000
73,24,0.730000,0.240000
74,24,0.740000,0.240000
75,24,0.750000,0.240000
76,24,0.760000,0.240000
77,24,0.770000,0.240000
78,24,0.780000,0.240000
79,25,0.790000,0.250000
80,26,0.800000,0.260000
81,27,0.810000,0.270000
82,28,0.820000,0.280000
83,29,0.830000,0.290000
84,30,0.840000,0.300000
85,31,0.850000,0.310000
86,32,0.860000,0.320000
87,33,0.870000,0.330000
88,34,0.880000,0.340000
89,35,0.890000,0.350000
90,36,0.900000,0.360000
91,37,0.910000,0.370000
92,38,0.920000,0.380000
93,39,0.930000,0.390000
94,40,0.940000,0.400000
95,41,0.950000,0.410000
96,42,0.960000,0.420000
97,43,0.970000,0.430000
98,44,0.980000,0.440000
99,45,0.990000,0.450000
100,46,1.000000,0.460000
101,47,1.010000,0.470000
102,48,1.020000,0.480000
103,49,1.030000,0.490000
104,50,1.040000,0.500000
105,51,1.050000,0.510000
106,52,1.060000,0.520000
107,53,1.070000,0.530000
108,54,1.080000,0.540000
109,55,1.090000,0.550000
110,56,1.100000,0.560000
111,57,1.110000,0.570000
112,58,1.120000,0.580000
113,59,1.130000,0.590000
114,60,1.140000,0.600000
115,61,1.150000,0.610000
116,62,1.160000,0.620000
117,63,1.170000,0.630000
118,64,1.180000,0.640000
119,65,1.190000,0.650000
120,66,1.200000,0.660000
121,67,1.210000,0.670000
122,68,1.220000,0.680000
123,69,1.230000,0.690000
124,70,1.240000,0.700000
125,71,1.250000,0.710000
126,72,1.260000,0.720000
127,73,1.270000,0.730000
128,74,1.280000,0.740000
129,75,1.290000,0.750000
130,76,1.300000,0.760000
131,77,1.310000,0.770000
132,78,1.320000,0.780000
133,79,1.330000,0.790000
134,80,1.340000,0.800000
135,81,1.350000,0.810000
136,82,1.360000,0.820000
137,83,1.370000,0.830000
138,84,1.380000,0.840000
139,85,1.390000,0.850000
140,86,1.400000,0.860000
141,87,1.410000,0.870000
142,88,1.420000,0.880000
143,89,1.430000,0.890000
144,90,1.440000,0.900000
145,91,1.450000,0.910000
146,92,1.460000,0.920000
147,93,1.470000,0.930000
148,94,1.480000,0.940000
149,95,1.490000,0.950000
150,96,1.500000,0.960000
151,97,1.510000,0.970000
152,98,1.520000,0.980000
153,99,1.530000,0.990000
154,100,1.540000,1.000000
155,101,1.550000,1.010000
156,102,1.560000,1.020000
157,103,1.570000,1.030000
158,103,1.580000,1.030000
159,103,1.590000,1.030000
160,103,1.600000,1.030000
161,103,1.610000,1.030000
162,103,1.620000,1.030000
163,104,1.630000,1.040000
164,105,1.640000,1.050000
165,106,1.650000,1.060000
166,106,1.660000,1.060000
167,107,1.670000,1.070000
168,108,1.680000,1.080000
169,109,1.690000,1.090000
170,110,1.700000,1.100000
171,111,1.710000,1.110000
172,112,1.720000,1.120000
173,113,1.730000,1.130000
174,114,1.740000,1.140000
175,115,1.750000,1.150000
176,115,1.760000,1.150000
177,116,1.770000,1.160000
178,117,1.780000,1.170000
179,118,1.790000,1.180000
180,119,1.800000,1.190000
181,120,1.810000,1.200000
182,121,1.820000,1.210000
183,122,1.830000,1.220000
184,123,1.840000,1.230000
185,124,1.850000,1.240000
186,125,1.860000,1.250000
187,126,1.870000,1.260000
188,126,1.880000,1.260000
189,127,1.890000,1.270000
190,128,1.900000,1.280000
191,129,1.910000,1.290000
192,130,1.920000,1.300000
193,131,1.930000,1.310000
194,132,1.940000,1.320000
195,132,1.950000,1.320000
196,133,1.960000,1.330000
197,134,1.970000,1.340000
198,135,1.980000,1.350000
199,136,1.990000,1.360000
200,137,2.000000,1.370000
201,138,2.010000,1.380000
202,139,2.020000,1.390000
203,140,2.030000,1.400000
204,141,2.040000,1.410000
205,142,2.050000,1.420000
206,143,2.060000,1.430000
207,143,2.070000,1.430000
208,144,2.080000,1.440000
209,145,2.090000,1.450000
210,146,2.100000,1.460000
211,147,2.110000,1.470000
212,148,2.120000,1.480000
213,149,2.130000,1.490000
214,150,2.140000,1.500000
215,150,2.150000,1.500000
216,151,2.160000,1.510000
217,152,2.170000,1.520000
218,153,2.180000,1.530000
219,154,2.190000,1.540000
220,155,2.200000,1.550000
221,156,2.210000,1.560000
222,157,2.220000,1.570000
223,157,2.230000,1.570000
224,158,2.240000,1.580000
225,159,2.250000,1.590000
226,160,2.260000,1.600000
227,161,2.270000,1.610000
228,162,2.280000,1.620000
229,163,2.290000,1.630000
230,164,2.300000,1.640000
231,165,2.310000,1.650000
232,166,2.320000,1.660000
233,167,2.330000,1.670000
234,168,2.340000,1.680000
235,169,2.350000,1.690000
236,170,2.360000,1.700000
237,171,2.370000,1.710000
238,172,2.380000,1.720000
239,173,2.390000,1.730000
240,174,2.400000,1.740000
241,175,2.410000,1.750000
241,176,2.410000,1.760000
241,177,2.410000,1.770000
241,178,2.410000,1.780000
241,179,2.410000,1.790000
241,180,2.410000,1.800000
242,181,2.420000,1.810000
243,182,2.430000,1.820000
244,183,2.440000,1.830000
245,184,2.450000,1.840000
246,185,2.460000,1.850000
246,186,2.460000,1.860000
246,187,2.460000,1.870000
246,188,2.460000,1.880000
246,189,2.460000,1.890000
246,190,2.460000,1.900000
246,191,2.460000,1.910000
246,192,2.460000,1.920000
246,193,2.460000,1.930000
246,194,2.460000,1.940000
246,195,2.460000,1.950000
246,196,2.460000,1.960000
246,197,2.460000,1.970000
246,198,2.460000,1.980000
246,199,2.460000,1.990000
246,200,2.460000,2.000000
246,201,2.460000,2.010000
246,202,2.460000,2.020000
246,203,2.460000,2.030000
246,204,2.460000,2.040000
247,205,2.470000,2.050000
247,206,2.470000,2.060000
248,207,2.480000,2.070000
249,208,2.490000,2.080000
250,209,2.500000,2.090000
251,210,2.510000,2.100000
