i_adr,i_guide,t_adr_sec,t_guide_sec
0,0,0.000000,0.000000
1,1,0.010000,0.010000
2,2,0.020000,0.020000
3,3,0.030000,0.030000
4,4,0.040000,0.040000
5,5,0.050000,0.050000
6,6,0.060000,0.060000
7,7,0.070000,0.070000
8,8,0.080000,0.080000
9,8,0.090000,0.080000
10,8,0.100000,0.080000
11,9,0.110000,0.090000
12,10,0.120000,0.100000
13,11,0.130000,0.110000
14,12,0.140000,0.120000
15,13,0.150000,0.130000
16,14,0.160000,0.140000
17,15,0.170000,0.150000
18,16,0.180000,0.160000
19,17,0.190000,0.170000
20,18,0.200000,0.180000
21,18,0.210000,0.180000
22,19,0.220000,0.190000
23,20,0.230000,0.200000
24,21,0.240000,0.210000
25,22,0.250000,0.220000
26,23,0.260000,0.230000
27,24,0.270000,0.240000
28,25,0.280000,0.250000
29,26,0.290000,0.260000
30,27,0.300000,0.270000
31,28,0.310000,0.280000
32,29,0.320000,0.290000
33,30,0.330000,0.300000
34,31,0.340000,0.310000
35,32,0.350000,0.320000
36,33,0.360000,0.330000
37,34,0.370000,0.340000
38,35,0.380000,0.350000
39,36,0.390000,0.360000
40,37,0.400000,0.370000
41,38,0.410000,0.380000
42,39,0.420000,0.390000
43,39,0.430000,0.390000
44,40,0.440000,0.400000
45,41,0.450000,0.410000
46,42,0.460000,0.420000
47,43,0.470000,0.430000
48,44,0.480000,0.440000
49,45,0.490000,0.450000
50,46,0.500000,0.460000
51,47,0.510000,0.470000
52,48,0.520000,0.480000
53,49,0.530000,0.490000
54,50,0.540000,0.500000
55,51,0.550000,0.510000
56,52,0.560000,0.520000
57,53,0.570000,0.530000
58,54,0.580000,0.540000
59,55,0.590000,0.550000
60,56,0.600000,0.560000
61,57,0.610000,0.570000
62,58,0.620000,0.580000
63,59,0.630000,0.590000
64,60,0.640000,0.600000
65,61,0.650000,0.610000
66,62,0.660000,0.620000
67,63,0.670000,0.630000
68,64,0.680000,0.640000
69,65,0.690000,0.650000
70,66,0.700000,0.660000
71,67,0.710000,0.670000
72,68,0.720000,0.680000
73,69,0.730000,0.690000
74,70,0.740000,0.700000
75,71,0.750000,0.710000
76,72,0.760000,0.720000
77,73,0.770000,0.730000
78,74,0.780000,0.740000
79,75,0.790000,0.750000
80,76,0.800000,0.760000
81,77,0.810000,0.770000
82,78,0.820000,0.780000
83,79,0.830000,0.790000
84,80,0.840000,0.800000
85,81,0.850000,0.810000
86,82,0.860000,0.820000
87,83,0.870000,0.830000
88,84,0.880000,0.840000
89,84,0.890000,0.840000
90,85,0.900000,0.850000
91,86,0.910000,0.860000
92,87,0.920000,0.870000
93,88,0.930000,0.880000
94,89,0.940000,0.890000
95,90,0.950000,0.900000
96,91,0.960000,0.910000
97,92,0.970000,0.920000
98,93,0.980000,0.930000
99,94,0.990000,0.940000
100,95,1.000000,0.950000
101,96,1.010000,0.960000
102,97,1.020000,0.970000
103,98,1.030000,0.980000
104,99,1.040000,0.990000
105,100,1.050000,1.000000
106,101,1.060000,1.010000
107,102,1.070000,1.020000
108,103,1.080000,1.030000
109,104,1.090000,1.040000
110,105,1.100000,1.050000
111,106,1.110000,1.060000
112,107,1.120000,1.070000
113,108,1.130000,1.080000
114,109,1.140000,1.090000
115,110,1.150000,1.100000
116,111,1.160000,1.110000
117,112,1.170000,1.120000
118,113,1.180000,1.130000
119,114,1.190000,1.140000
120,115,1.200000,1.150000
121,116,1.210000,1.160000
122,117,1.220000,1.170000
123,118,1.230000,1.180000
124,119,1.240000,1.190000
125,120,1.250000,1.200000
126,121,1.260000,1.210000
127,122,1.270000,1.220000
128,123,1.280000,1.230000
129,124,1.290000,1.240000
130,125,1.300000,1.250000
131,126,1.310000,1.260000
132,127,1.320000,1.270000
133,128,1.330000,1.280000
134,129,1.340000,1.290000
135,130,1.350000,1.300000
136,131,1.360000,1.310000
137,132,1.370000,1.320000
138,133,1.380000,1.330000
139,134,1.390000,1.340000
140,135,1.400000,1.350000
141,136,1.410000,1.360000
142,137,1.420000,1.370000
143,138,1.430000,1.380000
144,139,1.440000,1.390000
145,140,1.450000,1.400000
146,141,1.460000,1.410000
147,141,1.470000,1.410000
148,141,1.480000,1.410000
149,141,1.490000,1.410000
150,141,1.500000,1.410000
151,141,1.510000,1.410000
152,141,1.520000,1.410000
153,141,1.530000,1.410000
154,141,1.540000,1.410000
155,141,1.550000,1.410000
156,141,1.560000,1.410000
157,141,1.570000,1.410000
158,141,1.580000,1.410000
159,141,1.590000,1.410000
160,141,1.600000,1.410000
161,141,1.610000,1.410000
162,141,1.620000,1.410000
163,141,1.630000,1.410000
164,141,1.640000,1.410000
165,141,1.650000,1.410000
166,141,1.660000,1.410000
167,141,1.670000,1.410000
168,141,1.680000,1.410000
169,141,1.690000,1.410000
170,141,1.700000,1.410000
171,141,1.710000,1.410000
172,141,1.720000,1.410000
173,141,1.730000,1.410000
174,141,1.740000,1.410000
175,141,1.750000,1.410000
176,141,1.760000,1.410000
177,141,1.770000,1.410000
178,141,1.780000,1.410000
179,141,1.790000,1.410000
180,141,1.800000,1.410000
181,141,1.810000,1.410000
182,141,1.820000,1.410000
183,141,1.830000,1.410000
184,141,1.840000,1.410000
185,141,1.850000,1.410000
186,141,1.860000,1.410000
187,141,1.870000,1.410000
188,141,1.880000,1.410000
189,141,1.890000,1.410000
190,141,1.900000,1.410000
191,141,1.910000,1.410000
192,141,1.920000,1.410000
193,141,1.930000,1.410000
194,141,1.940000,1.410000
195,141,1.950000,1.410000
196,141,1.960000,1.410000
197,141,1.970000,1.410000
198,141,1.980000,1.410000
199,141,1.990000,1.410000
200,141,2.000000,1.410000
201,141,2.010000,1.410000
202,141,2.020000,1.410000
203,141,2.030000,1.410000
204,141,2.040000,1.410000
205,141,2.050000,1.410000
206,141,2.060000,1.410000
207,141,2.070000,1.410000
208,141,2.080000,1.410000
209,141,2.090000,1.410000
210,141,2.100000,1.410000
211,141,2.110000,1.410000
212,141,2.120000,1.410000
213,141,2.130000,1.410000
214,141,2.140000,1.410000
215,141,2.150000,1.410000
216,141,2.160000,1.410000
217,141,2.170000,1.410000
218,141,2.180000,1.410000
219,141,2.190000,1.410000
220,141,2.200000,1.410000
221,141,2.210000,1.410000
222,141,2.220000,1.410000
223,141,2.230000,1.410000
224,141,2.240000,1.410000
225,141,2.250000,1.410000
226,141,2.260000,1.410000
227,141,2.270000,1.410000
228,142,2.280000,1.420000
229,143,2.290000,1.430000
230,144,2.300000,1.440000
231,145,2.310000,1.450000
232,146,2.320000,1.460000
233,147,2.330000,1.470000
234,148,2.340000,1.480000
235,149,2.350000,1.490000
236,150,2.360000,1.500000
237,151,2.370000,1.510000
238,152,2.380000,1.520000
239,153,2.390000,1.530000
240,154,2.400000,1.540000
241,155,2.410000,1.550000
242,156,2.420000,1.560000
243,157,2.430000,1.570000
244,158,2.440000,1.580000
245,159,2.450000,1.590000
246,160,2.460000,1.600000
247,161,2.470000,1.610000
248,162,2.480000,1.620000
249,163,2.490000,1.630000
250,164,2.500000,1.640000
251,165,2.510000,1.650000
252,166,2.520000,1.660000
253,167,2.530000,1.670000
254,168,2.540000,1.680000
255,169,2.550000,1.690000
256,169,2.560000,1.690000
257,170,2.570000,1.700000
258,171,2.580000,1.710000
259,171,2.590000,1.710000
260,172,2.600000,1.720000
261,172,2.610000,1.720000
262,173,2.620000,1.730000
263,174,2.630000,1.740000
264,175,2.640000,1.750000
265,176,2.650000,1.760000
266,177,2.660000,1.770000
267,178,2.670000,1.780000
268,179,2.680000,1.790000
269,180,2.690000,1.800000
270,181,2.700000,1.810000
271,182,2.710000,1.820000
272,182,2.720000,1.820000
273,183,2.730000,1.830000
274,184,2.740000,1.840000
275,185,2.750000,1.850000
276,186,2.760000,1.860000
